Neighbourhood,Latitude,Longitude
Baldia Town,24.9525,66.955
Bin Qasim Town,24.8596,67.4005
Gadap Town,25.0023,67.1321
Gulberg Town,24.9368,67.076
Gulshan Town,24.918,67.0971
Jamshed Town,24.8702,67.0524
Kiamari Town,24.8788,66.879
Korangi Town,24.8387,67.1209
Landhi Town,24.8406,67.1948
Liaquatabad Town,24.9047,67.0472
Lyari Town,24.8784,67.0103
Malir Town,24.8937,67.2163
New Karachi Town,24.9999,67.0648
North Nazimabad Town,24.9372,67.0423
Orangi Town,24.9517,67.0023
Saddar Town,24.8532,67.0167
Shah Faisal Town,24.8773,67.1591
SITE Town,24.9053,66.9928
